beer_name;brewery_new;beer_type_clean;new_alcohol_vol;alcohol_vol_norm;alcohol_vol_cat;alcohol_vol_cat_norm;bitterness_clean;color_cat;fruity
ETYEK IPA;Etyeki sörmanifaktúra;IPA;6,5;0,444444444;1;0,5;1;0;0
BOHÉM PILZENI;Etyeki sörmanifaktúra;PILSNER;4,5;0,296296296;0;0;0;0;0
ROCINANTE BLONDE ALE;Etyeki sörmanifaktúra;BLONDE ALE;4,5;0,296296296;0;0;0;0;1
MELKHIOR;Etyeki sörmanifaktúra;ALE;8,5;0,592592593;2;1;0;0;1
BARD'S PORTER;Etyeki sörmanifaktúra;BROWN ALE;6,5;0,444444444;1;0,5;0;1;0
Fruit Punch;Etyeki sörmanifaktúra;IPA;6,5;0,444444444;1;0,5;1;0;1
AMBRÓZIA BELGA BÚZA;Etyeki sörmanifaktúra;WHEAT;5,2;0,348148148;1;0,5;0;0;0
PREMIER PALE ALE;Etyeki sörmanifaktúra;PALE ALE;5,2;0,348148148;1;0,5;0;0;1
FEKETESEREM;Etyeki sörmanifaktúra;STOUT;9;0,62962963;2;1;1;1;0
VÖRÖSÖRÖM;Etyeki sörmanifaktúra;IPA;5,2;0,348148148;1;0,5;1;0;0
MINDENKI SAISON BODZAVIRÁGGAL;Etyeki sörmanifaktúra;SAISON;4,5;0,296296296;0;0;0;0;1
Golden Weizen;Beerfort;WHEAT;5,5;0,37037037;1;0,5;0;0;1
Dunkel Weizen;Beerfort;WHEAT (brown);5,5;0,37037037;1;0,5;0;1;1
Keller;Beerfort;LAGER;5,5;0,37037037;1;0,5;0;0;1
Ister Bier;Beerfort;LAGER;4,8;0,318518519;0;0;0;0;1
Witbier;Beerfort;WHEAT;4,8;0,318518519;0;0;0;0;1
Dunkel;Beerfort;STOUT;5,5;0,37037037;1;0,5;0;1;0
Schwarze Weizen;Beerfort;WHEAT (brown);5,5;0,37037037;1;0,5;0;1;0
Pils;Beerfort;PILSNER;5,5;0,37037037;1;0,5;1;0;0
IPA;Beerfort;IPA;6,5;0,444444444;1;0,5;1;0;1
Búza Duplabak;Beerfort;WHEAT;8;0,555555556;2;1;0;0;1
Sommer Ale;Beerfort;ALE;4,8;0,318518519;0;0;0;0;1
Meggyes;Beerfort;RADLER;4,8;0,318518519;0;0;0;0;1
Kicker;Beerfort;SAISON IPA;4,8;0,318518519;0;0;1;0;1
End Of The Year;Beerfort;STOUT;6,5;0,444444444;1;0,5;1;1;1
Doppelbock;Beerfort;STOUT;8;0,555555556;2;1;0;1;0
Gyümölcsös Bambi Málna;Legenda Sörfõzde;RADLER;4,8;0,318518519;0;0;0;0;0
Black Bulls Dream;Legenda Sörfõzde;STOUT;4,5;0,296296296;0;0;1;1;0
VÖRÖS CSEPEL;Legenda Sörfõzde;RED ALE;4,8;0,318518519;0;0;0;0;0
TriplaX;Legenda Sörfõzde;TRIPEL;12;0,851851852;2;1;0;0;0
TRIPLAMEGGY;Legenda Sörfõzde;ALE (F);8,2;0,57037037;2;1;0;0;0
Snakebite Imperial IPA;Legenda Sörfõzde;IPA;8;0,555555556;2;1;1;0;0
BRETTANNIA BRUT;Legenda Sörfõzde;ALE;5,3;0,355555556;1;0,5;1;0;0
Sixfingers Weisse;Legenda Sörfõzde;WHEAT;5,3;0,355555556;1;0,5;0;0;0
Brutal Bitter;Legenda Sörfõzde;IPA;8,2;0,57037037;2;1;1;0;0
Black Jack IPA;Legenda Sörfõzde;IPA;8,2;0,57037037;2;1;1;0;0
Reeporter;Legenda Sörfõzde;PORTER;4,5;0,296296296;0;0;1;1;0
Gyümölcsös Áfonya sör;Legenda Sörfõzde;RADLER;4,8;0,318518519;0;0;0;0;0
BullDozer;Legenda Sörfõzde;IPA;6,5;0,444444444;1;0,5;1;0;0
GAME OVER;Legenda Sörfõzde;ALE;12;0,851851852;2;1;0;0;0
Pokerface Pale Ale;Legenda Sörfõzde;ALE;4,8;0,318518519;0;0;0;0;0
Diesel;Legenda Sörfõzde;PALE ALE;4,8;0,318518519;0;0;0;0;0
REDX;Legenda Sörfõzde;ALE;4,8;0,318518519;0;0;1;0;0
Olaszházi Bitumen;Legenda Sörfõzde;STOUT;12;0,851851852;2;1;1;1;0
Olaszházi Meggysör;Legenda Sörfõzde;LAGER (F);4,8;0,318518519;0;0;0;0;0
Legenda Pony;Legenda Sörfõzde;AMBER ALE;4,5;0,296296296;0;0;0;0;0
Jokerface IPA;Legenda Sörfõzde;IPA;6,5;0,444444444;1;0,5;1;0;0
Kelet-Indiai-Társaság IPA;Legenda Sörfõzde;IPA;6,5;0,444444444;1;0,5;1;0;0
HABLEÁNY;Legenda Sörfõzde;IPA;4,5;0,296296296;0;0;1;0;0
James’ Brown Ale;Legenda Sörfõzde;ALE (brown);4,5;0,296296296;0;0;1;1;0
JADE SCORPION TAIL;Legenda Sörfõzde;IPA;6,5;0,444444444;1;0,5;1;0;0
IRISH STOUT;Legenda Sörfõzde;STOUT;4,5;0,296296296;0;0;1;1;0
Gyümölcsös Ribizli sör;Legenda Sörfõzde;RADLER;4,8;0,318518519;0;0;0;0;0
Gyümölcsös Kiwi sör;Legenda Sörfõzde;RADLER;4,8;0,318518519;0;0;0;0;0
Gyümölcsös Birsalma sör;Legenda Sörfõzde;RADLER;4,8;0,318518519;0;0;0;0;0
Bohemian Pils;badersor.hu;PILSNER;5;0,333333333;1;0,5;0;0;0
Belga Búza;badersor.hu;WHEAT;5;0,333333333;1;0,5;0;0;1
Strong Ale;badersor.hu;ALE;7,7;0,533333333;2;1;0;0;1
Stout;badersor.hu;STOUT;6,3;0,42962963;1;0,5;1;1;0
American Pale Ale;badersor.hu;APA;5,2;0,348148148;1;0,5;1;0;1
Brand Ale;bigfootsorfozde.hu;BRAND ALE;4,5;0,296296296;0;0;0;0;0
Silver Street;bigfootsorfozde.hu;WHEAT;5,4;0,362962963;1;0,5;0;0;0
2222 - Négykettes;bigfootsorfozde.hu;IPA;6,5;0,444444444;1;0,5;1;0;0
Champlion's Beer;bigfootsorfozde.hu;LAGER;5;0,333333333;1;0,5;0;0;0
Ale Capone;bigfootsorfozde.hu;ALE (brown);6;0,407407407;1;0,5;0;1;0
Razzia;bigfootsorfozde.hu;WHEAT (brown);5,4;0,362962963;1;0,5;0;1;0
Alcatraz;bigfootsorfozde.hu;PORTER;5,6;0,377777778;1;0,5;1;1;0
Chicago;bigfootsorfozde.hu;PALE ALE;6;0,407407407;1;0,5;0;0;0
Kazamata Imperial Lager;gyertyanos.hu;LAGER;8;0,555555556;2;1;0;0;1
Gyertyános Pils;gyertyanos.hu;PILSNER;4,6;0,303703704;0;0;0;0;0
Gyertyános Barna Gyémánt;gyertyanos.hu;IPA;5,5;0,37037037;1;0,5;1;0;0
Gyertyános Banán;gyertyanos.hu;ALE;5,5;0,37037037;1;0,5;0;1;0
Gyertyános Ananász-Lime;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Licsi;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Fekete Berkenye;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Meggy;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Birsalma;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Szilva;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;1
Gyertyános Gesztenye;gyertyanos.hu;LAGER;5,5;0,37037037;1;0,5;0;0;1
Whiskeys Búza;gyertyanos.hu;WHEAT;5,5;0,37037037;1;0,5;0;1;0
Gyertyános Gyömbér;gyertyanos.hu;LAGER;4,6;0,303703704;1;0,5;0;0;0
Tequila’s IPA;gyertyanos.hu;IPA;8;0,555555556;2;1;1;0;1
Jégvirág;gyertyanos.hu;LAGER(F);5,5;0,37037037;1;0,5;0;0;0
Fekete Erdõ;gyertyanos.hu;LAGER;5,5;0,37037037;1;0,5;0;0;1
Golden Búza;gyertyanos.hu;WHEAT;5,5;0,37037037;1;0,5;0;1;1
Fresh Melon;gyertyanos.hu;RADLER;5,5;0,37037037;1;0,5;0;0;1
Gyertyános Chilis;gyertyanos.hu;ALE;8;0,555555556;2;1;1;0;0
Gyertyános Tök;gyertyanos.hu;ALE;5,5;0,37037037;1;0,5;0;0;0
Pyromania;roth.beer;PORTER;7,5;0,518518519;2;1;1;1;0
Red 5;roth.beer;ALE;5;0,333333333;1;0,5;1;0;0
Távoli Galaxis;roth.beer;IPA;6,1;0,414814815;1;0,5;1;0;1
Bakancslista;roth.beer;IPA;6,5;0,444444444;1;0,5;1;0;1
White Space;roth.beer;WHEAT;5,1;0,340740741;1;0,5;0;0;1
Houston;roth.beer;APA;5;0,333333333;1;0,5;1;0;1
Gingermeister;roth.beer;ALE;5,1;0,340740741;1;0,5;0;0;0
HELMUT – Szûretlen Bajor Búzasör;hedon.hu;WHEAT;5,2;0,348148148;1;0,5;0;0;1
JOHNNY FIRPO – Világos Blond Ale;hedon.hu;BLONDE ALE;4,8;0,318518519;0;0;0;0;0
BALATONVILAGOSI – Pilsner;hedon.hu;PILSNER;5;0,333333333;1;0,5;0;0;0
VERTIGO – Hoppy Lager;hedon.hu;LAGER;5;0,333333333;1;0,5;0;0;0
CHARLIE FIRPO – Rye Pale Ale;hedon.hu;PALE ALE;5,1;0,340740741;1;0,5;0;0;0
Rizmajer Karácsonyi Sör;rizmajersor.hu;LAGER;5,5;0,37037037;1;0,5;0;0;0
Jožin z bažin;rizmajersor.hu;PILSNER;4,3;0,281481481;0;0;0;0;0
Waterloo;rizmajersor.hu;BELGIAN DOUBLE ALE;6,5;0,444444444;1;0,5;1;0;0
Sissy & Balázs esküvöi söre;rizmajersor.hu;AMBER ALE;6,5;0,444444444;1;0,5;0;0;0
Rozsdás – Rozsos Sör GPA;rizmajersor.hu;PALE ALE;5,5;0,37037037;1;0,5;0;0;0
Hippie Terror – Gerilla Pale Lager;rizmajersor.hu;PALE ALE;5,5;0,37037037;1;0,5;1;0;0
Rizmajer mézes-narancsos gyömbérsör;rizmajersor.hu;ALE;5,5;0,37037037;1;0,5;0;0;1
Karácsonyi Sör;rizmajersor.hu;;5,5;0,37037037;1;0,5;0;0;0
Warrior – Scottish Ale;rizmajersor.hu;ALE;6,5;0,444444444;1;0,5;1;0;0
Rizmajer Cortez kukoricasör;rizmajersor.hu;LAGER;5,5;0,37037037;1;0,5;0;0;0
Zorall;rizmajersor.hu;IPA;6,5;0,444444444;1;0,5;1;0;0
Édes élet – Chocolate Stout;rizmajersor.hu;STOUT;6,5;0,444444444;1;0,5;1;1;1
Rizmajer Búza;rizmajersor.hu;WHEAT;6,5;0,444444444;1;0,5;0;0;0
Pils of Simcoe;rizmajersor.hu;PILSNER;5,5;0,37037037;1;0,5;0;0;0
Rizotto – Alkoholmentes Sör;rizmajersor.hu;;0,5;0;0;0;0;0;0
Rizmajer Cingulus fekete sör (Porter sör);rizmajersor.hu;PORTER;6,5;0,444444444;1;0,5;1;1;0
Rizmajer Maibock;rizmajersor.hu;PORTER;6,5;0,444444444;1;0,5;1;1;0
Rizmajer Rumos-Szilvás Sörmix;rizmajersor.hu;LAGER(F);4,3;0,281481481;0;0;0;0;1
424 – Füstös Porter Sör;rizmajersor.hu;PORTER;6,5;0,444444444;1;0,5;0;1;0
Rizmajer Konyakos-Meggyes Sörmix;rizmajersor.hu;LAGER(F);4,3;0,281481481;0;0;0;0;1
Marzen – Márciusi sör;rizmajersor.hu;;6,5;0,444444444;1;0,5;0;0;0
Rizmajer Világos (Szebeni Ászok);rizmajersor.hu;LAGER;4,3;0,281481481;0;0;0;0;0
POPCORN – Double Corn IPA;rizmajersor.hu;IPA;6,5;0,444444444;1;0,5;1;0;0
Fekete Cherry;rizmajersor.hu;PORTER(F);5,5;0,37037037;1;0,5;0;1;1
Málnás Búza;rizmajersor.hu;WHEAT(F);5,5;0,37037037;1;0,5;0;0;1
